Hugo Symbol	OncoG_TSG
ABL1	Oncogene
AKT1	Oncogene
ALK	Oncogene
AMER1	TSG
APC	TSG
AR	Oncogene
ARID1A	TSG
ASXL1	TSG
ATM	TSG
ATRX	TSG
AXIN1	TSG
BAP1	TSG
BCL2	Oncogene
BCOR	TSG
BRAF	Oncogene
BRCA1	TSG
BRCA2	TSG
CARD11	Oncogene
CBL	TSG
CDC73	TSG
CDH1	TSG
CDKN2A	TSG
CEBPA	TSG
CIC	TSG
CREBBP	TSG
CTNNB1	Oncogene
DAXX	TSG
DNMT3A	TSG
EGFR	Oncogene
EP300	TSG
ERBB2	Oncogene
EZH2	Both
FBXW7	TSG
FGFR2	Oncogene
FGFR3	Oncogene
FLT3	Oncogene
FOXL2	Both
GATA3	Both
GNA11	Oncogene
GNAQ	Oncogene
GNAS	Oncogene
HNF1A	TSG
HRAS	Oncogene
IDH1	Oncogene
IDH2	Oncogene
JAK1	Both
JAK2	Oncogene
JAK3	Oncogene
KDM5C	TSG
KDM6A	TSG
KIT	Oncogene
KMT2D	TSG
KRAS	Oncogene
MAP2K1	Oncogene
MAP3K1	TSG
MED12	Both
MEN1	TSG
MET	Oncogene
MLH1	TSG
MPL	Oncogene
MSH2	TSG
MSH6	TSG
MYD88	Oncogene
NF1	TSG
NF2	TSG
NFE2L2	Oncogene
NOTCH1	Both
NOTCH2	Both
NPM1	TSG
NRAS	Oncogene
PAX5	Both
PBRM1	TSG
PDGFRA	Oncogene
PIK3CA	Oncogene
PIK3R1	TSG
PPP2R1A	TSG
PRDM1	TSG
PTCH1	TSG
PTEN	TSG
PTPN11	Oncogene
RB1	TSG
RET	Oncogene
RNF43	TSG
SETD2	TSG
SF3B1	Oncogene
SMAD2	TSG
SMAD4	TSG
SMARCA4	TSG
SMARCB1	TSG
SMO	Oncogene
SOCS1	TSG
SPOP	TSG
STAG2	TSG
STK11	TSG
TET2	TSG
TNFAIP3	TSG
TP53	TSG
TSC1	TSG
U2AF1	Oncogene
VHL	TSG
WT1	Both
AKT2	Oncogene
ARID2	TSG
ATR	TSG
B2M	TSG
BARD1	TSG
BCL6	Oncogene
BRD4	Oncogene
BRIP1	TSG
BTK	Oncogene
CALR	Oncogene
CASP8	TSG
CBFB	TSG
CCND1	Oncogene
CCND2	Oncogene
CCND3	Oncogene
CCNE1	Oncogene
CD274	Oncogene
CD79A	Oncogene
CD79B	Oncogene
CDK12	TSG
CDK4	Oncogene
CDK6	Oncogene
CDKN1B	TSG
CDKN2C	TSG
CHEK2	TSG
CRLF2	Oncogene
CSF3R	Oncogene
CTCF	TSG
CXCR4	Oncogene
DDR2	Oncogene
ERBB3	Oncogene
ERBB4	Oncogene
ERG	Oncogene
ESR1	Oncogene
ETV6	TSG
FANCA	TSG
FANCC	TSG
FGFR1	Oncogene
FGFR4	Oncogene
FLCN	TSG
FUBP1	TSG
GATA2	Oncogene
H3-3A	Oncogene
HGF	Oncogene
IRF4	Oncogene
JUN	Oncogene
KDM5A	Oncogene
KDR	Oncogene
KEAP1	TSG
KMT2A	TSG
KMT2C	TSG
MAP2K2	Oncogene
MAP2K4	TSG
MAPK1	Oncogene
MDM2	Oncogene
MDM4	Oncogene
MITF	Both
MTOR	Oncogene
MUTYH	TSG
MYC	Oncogene
MYCL	Oncogene
MYCN	Oncogene
NKX2-1	Oncogene
NSD2	Oncogene
NTRK1	Oncogene
NTRK2	Oncogene
NTRK3	Oncogene
PALB2	TSG
PDCD1LG2	Oncogene
PDGFRB	Oncogene
PHF6	TSG
RAD21	TSG
RAF1	Oncogene
ROS1	Oncogene
RUNX1	TSG
SDHA	TSG
SDHB	TSG
SDHC	TSG
SDHD	TSG
